Interval,2018-04-02,,,,2018-04-03,,,,2018-04-04,,,,2018-04-05,,,,2018-04-06,,,,2018-04-09,,,,2018-04-10,,,,2018-04-11,,,,2018-04-12,,,,2018-04-13,,,,2018-04-16,,,,2018-04-17,,,,2018-04-18,,,,2018-04-19,,,,2018-04-20,,,,2018-04-23,,,,2018-04-24,,,,2018-04-25,,,,2018-04-26,,,,2018-04-27,,,,2018-04-30,,,
Section,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230,3200,3210,3220,3230
14:48:00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00,0.50,1.00,1.50,2.00
14:54:00,0.50,1.00,2.00,3.25,0.50,1.00,1.50,6.00,0.50,1.00,1.50,2.75,0.50,1.00,1.50,2.75,0.50,1.00,2.75,7.25,0.50,1.00,1.50,3.25,0.50,1.00,1.75,2.25,0.50,1.00,2.25,2.75,0.50,1.00,1.75,2.25,0.50,1.00,2.00,2.50,0.50,1.00,1.75,2.75,0.50,1.00,1.50,3.25,0.50,1.00,1.50,4.00,0.50,1.00,1.75,4.00,0.50,1.00,2.00,6.75,0.50,1.00,2.00,3.50,0.50,1.00,1.50,3.00,0.50,1.00,1.50,3.00,0.50,1.00,1.50,6.00,0.50,1.00,1.50,6.25,0.50,1.00,1.75,3.50
15:00:00,3.25,7.00,8.00,9.25,6.50,7.00,7.50,12.00,4.00,7.00,7.50,8.75,6.50,7.00,7.50,8.75,6.50,7.00,8.75,13.25,3.00,7.00,7.50,9.25,3.75,7.00,7.75,8.25,6.50,7.00,8.25,8.75,6.50,7.00,7.75,8.25,6.50,7.00,8.00,8.50,3.25,7.00,7.75,8.75,3.50,7.00,7.50,9.25,6.50,7.00,7.50,10.00,6.00,7.00,7.75,10.00,6.50,7.00,8.00,12.75,3.50,7.00,8.00,9.50,6.50,7.00,7.50,9.00,4.50,7.00,7.50,9.00,6.50,7.00,7.50,12.00,3.75,7.00,7.50,12.25,2.75,7.00,7.75,9.50
15:06:00,3.25,8.25,9.50,10.50,12.25,13.00,13.50,18.00,2.75,10.00,11.25,12.25,3.50,12.00,13.00,14.00,3.00,11.50,12.50,17.25,3.00,8.50,9.75,10.50,2.75,10.00,11.25,11.75,3.25,11.75,13.00,13.50,3.00,11.50,12.50,13.00,3.25,11.75,13.00,13.50,3.25,5.00,6.00,6.75,3.50,8.50,9.75,11.25,3.75,12.25,13.25,14.75,3.25,11.75,13.75,15.25,4.00,11.50,12.75,17.25,3.00,5.50,7.00,8.00,2.50,9.25,10.50,11.50,3.00,9.25,10.50,11.50,3.50,12.00,13.25,18.00,3.75,10.25,11.50,16.00,2.75,7.00,7.75,9.00
15:12:00,3.25,4.50,5.50,6.00,4.00,8.00,9.25,10.00,2.75,4.25,5.00,5.75,3.50,12.00,13.00,14.00,3.00,10.50,11.25,15.75,3.00,4.75,5.50,6.25,2.75,6.75,8.00,8.50,3.25,6.50,8.25,8.75,3.75,9.75,11.00,11.50,3.25,8.50,10.00,10.50,2.75,4.00,4.75,5.25,3.50,5.75,6.75,8.00,3.75,12.25,13.25,14.00,3.25,11.25,13.75,15.25,4.00,10.25,11.25,16.00,3.00,3.50,4.25,5.00,2.50,7.25,8.25,9.25,3.00,5.00,6.25,7.50,3.50,9.00,10.25,12.00,3.75,5.50,6.75,7.75,2.25,3.50,4.25,5.25
15:18:00,2.75,4.00,4.75,5.25,3.25,5.00,6.00,6.75,3.25,5.50,6.00,6.50,3.50,9.75,11.00,11.75,3.75,6.00,7.00,9.25,3.75,4.75,5.50,6.25,4.00,5.50,6.25,6.75,4.00,5.50,6.25,6.75,3.75,5.75,7.00,7.50,3.25,5.75,7.00,7.50,2.75,4.00,4.75,6.00,3.50,5.25,6.00,6.50,3.75,6.50,7.75,9.00,3.25,5.75,7.75,8.75,3.50,6.00,7.00,11.50,3.00,5.00,6.00,6.50,3.25,4.75,5.25,6.00,2.25,3.50,4.25,4.75,3.50,5.50,6.50,7.50,3.00,4.50,5.75,6.25,3.00,4.75,5.50,6.25
15:24:00,3.50,5.25,6.00,6.50,3.25,5.00,6.00,6.75,3.25,5.50,6.00,6.50,3.50,6.25,7.50,8.25,3.75,6.00,7.00,7.25,3.00,4.75,5.50,6.25,3.50,5.50,6.25,6.75,3.50,5.50,6.25,6.75,3.75,5.75,6.25,6.75,3.25,4.75,5.75,6.25,2.75,4.75,5.50,6.00,3.50,5.25,6.50,7.25,3.00,4.50,5.25,6.00,4.00,5.75,6.75,7.75,3.50,5.00,5.75,7.75,3.00,5.00,6.00,6.50,3.25,4.75,5.25,6.00,3.75,5.50,6.00,6.50,3.50,5.50,6.50,7.00,3.00,4.50,5.75,6.25,3.00,4.75,5.50,6.25
15:30:00,3.50,6.00,7.00,7.50,3.25,5.00,6.00,6.75,4.00,6.50,7.50,8.00,3.50,5.50,6.25,6.75,3.75,6.00,7.00,7.25,3.00,4.75,5.50,6.25,3.50,5.50,6.25,6.75,3.50,6.00,7.00,7.50,3.75,5.75,6.75,7.25,3.25,5.75,6.50,7.00,2.75,4.75,5.50,6.00,3.50,6.75,7.75,9.00,4.00,5.75,6.75,7.50,4.00,6.50,7.25,7.75,3.50,6.00,6.75,7.75,3.00,5.00,6.00,6.50,3.25,4.75,5.25,6.00,3.75,5.50,6.75,7.25,3.50,5.50,6.50,7.00,3.00,4.50,5.75,6.25,3.00,4.75,5.50,6.25
15:36:00,3.00,4.75,5.50,6.00,3.25,5.00,6.00,6.75,3.00,5.50,6.50,7.00,3.50,5.50,6.25,6.75,4.25,6.00,7.00,7.75,3.00,4.00,4.75,5.25,3.00,4.75,5.75,6.25,3.00,5.00,6.00,6.50,3.75,5.75,6.75,7.25,4.00,5.75,6.50,7.00,2.75,4.75,5.50,6.00,3.50,6.75,7.25,8.00,4.00,5.75,6.75,7.50,4.00,6.00,7.25,7.75,3.50,6.00,6.75,7.75,3.00,5.00,6.00,6.50,4.00,6.50,7.50,8.25,3.75,5.50,6.75,7.25,5.25,7.50,8.50,9.25,3.75,6.00,7.00,7.75,3.00,4.75,5.50,6.25
15:42:00,3.00,4.75,5.50,6.00,3.25,6.00,7.00,7.50,3.00,5.50,6.50,7.50,3.50,5.50,6.25,6.75,3.50,6.00,7.00,7.75,3.00,5.00,6.00,6.50,3.75,4.75,5.75,6.25,3.00,5.00,5.50,6.00,3.75,6.25,7.25,7.75,5.00,7.50,8.25,8.75,2.75,4.25,5.50,6.00,3.50,5.00,6.00,6.75,4.50,6.50,7.50,8.25,4.00,6.00,7.25,7.75,4.75,6.75,7.75,8.50,3.00,5.00,5.25,5.75,3.00,4.75,5.50,6.50,3.75,5.50,6.75,7.25,4.00,6.50,7.50,8.25,3.75,5.25,6.25,7.00,3.00,4.75,5.50,6.25
15:48:00,4.25,6.50,7.25,8.00,3.25,6.00,7.00,7.50,3.00,5.50,6.50,7.50,3.50,6.00,7.00,7.50,4.00,6.00,7.00,7.75,3.00,5.00,6.00,6.50,3.00,4.75,5.75,6.25,3.00,5.75,6.50,7.00,3.75,5.50,6.75,7.25,4.00,6.50,7.50,8.00,3.50,5.50,6.50,7.25,3.50,6.00,7.00,7.75,3.75,5.50,6.25,7.00,4.00,6.75,7.75,8.75,4.00,6.75,7.75,9.25,4.00,5.75,6.75,7.50,3.75,5.75,6.50,7.25,3.75,6.50,7.25,8.25,4.00,6.50,7.50,8.25,3.75,5.25,6.25,7.00,3.00,4.75,5.50,7.00
15:54:00,3.25,5.75,7.25,7.25,3.25,6.00,7.00,7.50,3.00,6.00,7.25,7.50,4.75,7.00,7.75,8.50,4.00,6.00,7.00,7.75,3.00,5.00,6.00,6.50,3.75,5.75,6.75,7.25,3.75,5.75,6.50,7.00,4.25,6.75,7.75,8.25,4.00,6.50,7.50,8.00,3.50,5.50,6.50,7.25,3.50,5.00,6.00,7.00,3.75,5.50,6.25,7.00,5.00,6.75,7.75,8.75,3.25,5.25,6.50,7.25,3.25,5.00,6.00,6.50,3.75,5.75,6.50,7.25,3.75,5.50,6.50,7.25,4.50,6.50,8.00,8.75,3.75,5.75,7.00,7.00,3.00,4.75,5.50,7.00
16:00:00,3.25,5.75,6.50,7.25,3.25,6.00,7.00,7.50,4.00,7.25,8.25,8.75,4.00,6.50,7.75,8.50,4.00,7.25,8.00,8.50,3.00,5.00,6.00,6.50,3.75,7.00,7.75,8.25,3.75,5.00,6.50,7.00,4.25,7.50,8.75,9.25,4.00,6.50,7.50,8.00,2.50,4.00,4.75,5.50,3.50,7.00,8.00,8.75,4.25,6.25,7.25,8.25,4.25,7.75,9.00,9.75,4.00,6.00,6.50,7.25,3.25,5.00,6.00,6.50,3.75,5.75,6.50,7.25,3.75,6.00,6.50,7.25,4.50,6.50,8.00,8.75,4.50,6.50,7.50,8.50,3.00,4.75,5.50,7.00
